Tên tuyến,Địa điểm,Tọa độ
Tuyến Đông Triều,Cổng chào tỉnh Quảng Ninh,"21.118906600949302, 106.46711403339886"
Tuyến Đông Triều,Bắc Mã,"21.106049199106018, 106.4773465935731"
Tuyến Đông Triều,Ngã 6 Đông Triều,"21.08872685949162, 106.51738993220332"
Tuyến Đông Triều,Trường THPT Đông Triều,"21.08105262884862, 106.52722867993452"
Tuyến Đông Triều,Cầu Cầm,"21.074203861887536, 106.53485123775262"
Tuyến Đông Triều,Vĩnh Tuy,"21.05605927962974, 106.60067524863281"
Tuyến Đông Triều,Tràng Bạch,"21.054064760448338, 106.64031730287341"
Tuyến Đông Triều,Chợ Lầm,"21.052230065002117, 106.66039131817813"
Tuyến Đông Triều,Mạo Khê,"21.06090086421908, 106.58507011090538"
Tuyến Đông Triều,Ga Yên Dưỡng,"21.04497822875379, 106.70120873775178"
Tuyến Đông Triều,Chùa Trình Yên Tử,"21.04268242475039, 106.7123792177624"
Tuyến Đông Triều,Quốc lộ 10,"21.02400411604846, 106.71202012453472"
Tuyến Đông Triều,Quốc lộ 10,"20.99048806463054, 106.67373527076101"
Tuyến Đông Triều,Quốc lộ 10,"20.99055615949458, 106.67382176475323"
Tuyến Quảng Yên,Chợ Rộc,"20.94017105189965, 106.82419432062304"
Tuyến Quảng Yên,Chùa Đống Phúc,"20.942782399308403, 106.79571909832353"
Tuyến Quảng Yên,UBND Xã Hiệp Hòa,"20.955884932949626, 106.80153339470905"
Tuyến Quảng Yên,Cầu Mai Hòa,"20.999896438052133, 106.80310103775064"
Tuyến Quảng Yên,Chợ Yên Thanh,"21.031820960616756, 106.76367338904876"
Tuyến Quảng Yên,Sông Khoai,"20.979567908563393, 106.80176074478248"
Tuyến Quảng Yên,Quốc lộ 10,"21.02863295088635, 106.72261320379118"
Tuyến Quảng Yên,Quốc lộ 10,"21.006166932731205, 106.68639615678379"
Tuyến Quảng Yên,Quốc lộ 10,"20.940840975453447, 106.6647200876055"
Tuyến Vàng Danh,Ngã 4 Nam Mẫu,"21.104832190104737, 106.73030152581373"
Tuyến Vàng Danh,Cầu Lán Tháp,"21.08918191455896, 106.79362161382535"
Tuyến Vàng Danh,UBND Phường Bắc Sơn,"21.05840804447515, 106.79796120198975"
Tuyến Vàng Danh,UBND phường Vàng Danh,"21.099910796059962, 106.79818668320983"
Tuyến Vàng Danh,Trung Tâm Y Tế Thành Phố Uông Bí,"21.035271500522583, 106.77362163085179"
Tuyến Vàng Danh,Ngã 3 Đường 10,"21.03615134845872, 106.73772075444671"
Tuyến Vàng Danh,Đường đôi Phương Nam,"21.016819893298443, 106.69567727514234"
Tuyến Vàng Danh,Quốc lộ 10,"20.958715937212382, 106.66763833083625"
Tuyến An Lão,May Trung Kiên,"20.821320087762945, 106.55798002621218"
Tuyến An Lão,Thị trấn An Lão,"20.82105274398921, 106.5505888566675"
Tuyến An Lão,Ngã Tư Quang Thanh,"20.817963983016337, 106.53709003761541"
Tuyến An Lão,Cầu Vàng,"20.829556347582965, 106.5514683993157"
Tuyến An Lão,Cầu Trạm Bạc,"20.848124832347647, 106.56415977680815"
Tuyến An Lão,Khu Công Nghiệp Tràng Duệ,"20.857891748022947, 106.57161715343578"
Tuyến An Lão,Cầu Rế,"20.868618903702, 106.57974961116896"
Tuyến An Lão,Chùa Cao Linh,"20.880688544685505, 106.58618691280486"
Tuyến An Lão,Cầu Kiền,"20.91347686544861, 106.62309338192871"
Tuyến An Lão,Chợ Quán Toan,"20.893414749672537, 106.60452012421375"
